team,games,goals_for,goals_against,goal_difference,wins,draws,losses,win_rate,goals_per_game,goals_against_per_game
Bolivia,6,1,20,-19,0,1,5,0.0,0.16666666666666666,3.3333333333333335
El Salvador,6,1,22,-21,0,0,6,0.0,0.16666666666666666,3.6666666666666665
Iraq,3,1,4,-3,0,0,3,0.0,0.3333333333333333,1.3333333333333333
Israel,3,1,3,-2,0,2,1,0.0,0.3333333333333333,1.0
Qatar,3,1,7,-6,0,0,3,0.0,0.3333333333333333,2.3333333333333335
Togo,3,1,6,-5,0,0,3,0.0,0.3333333333333333,2.0
China,3,0,9,-9,0,0,3,0.0,0.0,3.0
Dutch East Indies,1,0,6,-6,0,0,1,0.0,0.0,6.0
Trinidad and Tobago,3,0,4,-4,0,1,2,0.0,0.0,1.3333333333333333
Zaire,3,0,14,-14,0,0,3,0.0,0.0,4.666666666666667
