match_id,match_num,year,cup_name,round,date,time,team1,team2,team1_normalized,team2_normalized,team1_score_final,team2_score_final,total_goals_final,winner,loser,is_draw,goal_difference,group,ground,status,match_played,has_goals_events
1934_12,,1934,World Cup 1934,Quarter-finals,1934-05-31,,Austria,Hungary,Austria,Hungary,2.0,1.0,3.0,Austria,Hungary,False,1.0,,"Stadio Littoriale, Bologna",played,True,True
1934_13,,1934,World Cup 1934,"Quarter-finals, Replays",1934-06-01,,Italy,Spain,Italy,Spain,1.0,0.0,1.0,Italy,Spain,False,1.0,,"Stadio Giovanni Berta, Florence",played,True,True
1934_14,,1934,World Cup 1934,Semi-finals,1934-06-03,,Italy,Austria,Italy,Austria,1.0,0.0,1.0,Italy,Austria,False,1.0,,"Stadio San Siro, Milan",played,True,True
1934_15,,1934,World Cup 1934,Semi-finals,1934-06-03,,Czechoslovakia,Germany,Czech Republic,Germany,3.0,1.0,4.0,Czech Republic,Germany,False,2.0,,"Stadio Nazionale PNF, Rome",played,True,True
1934_16,,1934,World Cup 1934,Third-place match,1934-06-07,,Germany,Austria,Germany,Austria,3.0,2.0,5.0,Germany,Austria,False,1.0,,"Stadio Giorgio Ascarelli, Naples",played,True,True
1934_17,,1934,World Cup 1934,Final,1934-06-10,,Italy,Czechoslovakia,Italy,Czech Republic,2.0,1.0,3.0,Italy,Czech Republic,False,1.0,,"Stadio Nazionale PNF, Rome",played,True,True
1938_1,,1938,World Cup 1938,First round,1938-06-04,,Switzerland,Germany,Switzerland,Germany,1.0,1.0,2.0,,,True,0.0,,"Parc des Princes, Paris",played,True,True
1938_2,,1938,World Cup 1938,First round,1938-06-05,,Hungary,Dutch East Indies,Hungary,Dutch East Indies,6.0,0.0,6.0,Hungary,Dutch East Indies,False,6.0,,"Vélodrome Municipal, Reims",played,True,True
1938_3,,1938,World Cup 1938,First round,1938-06-05,,France,Belgium,France,Belgium,3.0,1.0,4.0,France,Belgium,False,2.0,,"Stade Olympique de Colombes, Paris",played,True,True
1938_4,,1938,World Cup 1938,First round,1938-06-05,,Cuba,Romania,Cuba,Romania,3.0,3.0,6.0,,,True,0.0,,"Stade Chapou, Toulouse",played,True,True
1938_5,,1938,World Cup 1938,First round,1938-06-05,,Italy,Norway,Italy,Norway,2.0,1.0,3.0,Italy,Norway,False,1.0,,"Stade Vélodrome, Marseille",played,True,True
1938_6,,1938,World Cup 1938,First round,1938-06-05,,Brazil,Poland,Brazil,Poland,6.0,5.0,11.0,Brazil,Poland,False,1.0,,"Stade de la Meinau, Strasbourg",played,True,True
1938_7,,1938,World Cup 1938,First round,1938-06-05,,Czechoslovakia,Netherlands,Czech Republic,Netherlands,3.0,0.0,3.0,Czech Republic,Netherlands,False,3.0,,"Stade municipal, Le Havre",played,True,True
1938_8,,1938,World Cup 1938,First round,1938-06-05,,Sweden,Austria,Sweden,Austria,,,,,,False,,,"Stade Gerland, Lyon",canceled,False,False
1938_9,,1938,World Cup 1938,"First round, Replays",1938-06-09,,Cuba,Romania,Cuba,Romania,2.0,1.0,3.0,Cuba,Romania,False,1.0,,"Stade Chapou, Toulouse",played,True,True
1938_10,,1938,World Cup 1938,"First round, Replays",1938-06-09,,Germany,Switzerland,Germany,Switzerland,2.0,4.0,6.0,Switzerland,Germany,False,2.0,,"Parc des Princes, Paris",played,True,True
1938_11,,1938,World Cup 1938,Quarter-finals,1938-06-12,,Brazil,Czechoslovakia,Brazil,Czech Republic,1.0,1.0,2.0,,,True,0.0,,"Parc Lescure, Bordeaux",played,True,True
1938_12,,1938,World Cup 1938,Quarter-finals,1938-06-12,,Switzerland,Hungary,Switzerland,Hungary,0.0,2.0,2.0,Hungary,Switzerland,False,2.0,,"Stade Victor Boucquey, Lille",played,True,True
1938_13,,1938,World Cup 1938,Quarter-finals,1938-06-12,,Sweden,Cuba,Sweden,Cuba,8.0,0.0,8.0,Sweden,Cuba,False,8.0,,"Stade du Fort Carré, Antibes",played,True,True
1938_14,,1938,World Cup 1938,Quarter-finals,1938-06-12,,France,Italy,France,Italy,1.0,3.0,4.0,Italy,France,False,2.0,,"Stade Olympique de Colombes, Paris",played,True,True
1938_15,,1938,World Cup 1938,"Quarter-finals, Replays",1938-06-14,,Brazil,Czechoslovakia,Brazil,Czech Republic,2.0,1.0,3.0,Brazil,Czech Republic,False,1.0,,"Parc Lescure, Bordeaux",played,True,True
1938_16,,1938,World Cup 1938,Semi-finals,1938-06-16,,Hungary,Sweden,Hungary,Sweden,5.0,1.0,6.0,Hungary,Sweden,False,4.0,,"Parc des Princes, Paris",played,True,True
1938_17,,1938,World Cup 1938,Semi-finals,1938-06-16,,Italy,Brazil,Italy,Brazil,2.0,1.0,3.0,Italy,Brazil,False,1.0,,"Stade Vélodrome, Marseille",played,True,True
1938_18,,1938,World Cup 1938,Match for third place,1938-06-19,,Sweden,Brazil,Sweden,Brazil,2.0,4.0,6.0,Brazil,Sweden,False,2.0,,"Parc Lescure, Bordeaux",played,True,True
1938_19,,1938,World Cup 1938,Final,1938-06-19,,Hungary,Italy,Hungary,Italy,2.0,4.0,6.0,Italy,Hungary,False,2.0,,"Stade Olympique de Colombes, Paris",played,True,True
1950_1,,1950,World Cup 1950,First round,1950-06-24,,Brazil,Mexico,Brazil,Mexico,4.0,0.0,4.0,Brazil,Mexico,False,4.0,Group 1,"Estádio do Maracanã, Rio de Janeiro",played,True,True
1950_2,,1950,World Cup 1950,First round,1950-06-25,,Yugoslavia,Switzerland,Serbia,Switzerland,3.0,0.0,3.0,Serbia,Switzerland,False,3.0,Group 1,"Estádio Independência, Belo Horizonte",played,True,True
1950_3,,1950,World Cup 1950,First round,1950-06-28,,Brazil,Switzerland,Brazil,Switzerland,2.0,2.0,4.0,,,True,0.0,Group 1,"Estádio do Pacaembu, São Paulo",played,True,True
1950_4,,1950,World Cup 1950,First round,1950-06-28,,Yugoslavia,Mexico,Serbia,Mexico,4.0,1.0,5.0,Serbia,Mexico,False,3.0,Group 1,"Estádio dos Eucaliptos, Porto Alegre",played,True,True
1950_5,,1950,World Cup 1950,First round,1950-07-01,,Brazil,Yugoslavia,Brazil,Serbia,2.0,0.0,2.0,Brazil,Serbia,False,2.0,Group 1,"Estádio do Maracanã, Rio de Janeiro",played,True,True
1950_6,,1950,World Cup 1950,First round,1950-07-02,,Switzerland,Mexico,Switzerland,Mexico,2.0,1.0,3.0,Switzerland,Mexico,False,1.0,Group 1,"Estádio dos Eucaliptos, Porto Alegre",played,True,True
1950_7,,1950,World Cup 1950,First round,1950-06-25,,England,Chile,England,Chile,2.0,0.0,2.0,England,Chile,False,2.0,Group 2,"Estádio do Maracanã, Rio de Janeiro",played,True,True
1950_8,,1950,World Cup 1950,First round,1950-06-25,,Spain,United States,Spain,United States,3.0,1.0,4.0,Spain,United States,False,2.0,Group 2,"Estádio Durival de Britto, Curitiba",played,True,True
1950_9,,1950,World Cup 1950,First round,1950-06-29,,Spain,Chile,Spain,Chile,2.0,0.0,2.0,Spain,Chile,False,2.0,Group 2,"Estádio do Maracanã, Rio de Janeiro",played,True,True
1950_10,,1950,World Cup 1950,First round,1950-06-29,,United States,England,United States,England,1.0,0.0,1.0,United States,England,False,1.0,Group 2,"Estádio Independência, Belo Horizonte",played,True,True
1950_11,,1950,World Cup 1950,First round,1950-07-02,,Spain,England,Spain,England,1.0,0.0,1.0,Spain,England,False,1.0,Group 2,"Estádio do Maracanã, Rio de Janeiro",played,True,True
1950_12,,1950,World Cup 1950,First round,1950-07-02,,Chile,United States,Chile,United States,5.0,2.0,7.0,Chile,United States,False,3.0,Group 2,"Estádio Ilha do Retiro, Recife",played,True,True
1950_13,,1950,World Cup 1950,First round,1950-06-25,,Sweden,Italy,Sweden,Italy,3.0,2.0,5.0,Sweden,Italy,False,1.0,Group 3,"Estádio do Pacaembu, São Paulo",played,True,True
1950_14,,1950,World Cup 1950,First round,1950-06-29,,Sweden,Paraguay,Sweden,Paraguay,2.0,2.0,4.0,,,True,0.0,Group 3,"Estádio Durival Britto, Curitiba",played,True,True
1950_15,,1950,World Cup 1950,First round,1950-07-02,,Italy,Paraguay,Italy,Paraguay,2.0,0.0,2.0,Italy,Paraguay,False,2.0,Group 3,"Estádio do Pacaembu, São Paulo",played,True,True
1950_16,,1950,World Cup 1950,First round,1950-07-02,,Uruguay,Bolivia,Uruguay,Bolivia,8.0,0.0,8.0,Uruguay,Bolivia,False,8.0,Group 4,"Estádio Independência, Belo Horizonte",played,True,True
1950_17,,1950,World Cup 1950,Final Round,1950-07-09,,Uruguay,Spain,Uruguay,Spain,2.0,2.0,4.0,,,True,0.0,,"Estádio do Pacaembu, São Paulo",played,True,True
1950_18,,1950,World Cup 1950,Final Round,1950-07-09,,Brazil,Sweden,Brazil,Sweden,7.0,1.0,8.0,Brazil,Sweden,False,6.0,,"Estádio do Maracanã, Rio de Janeiro",played,True,True
1950_19,,1950,World Cup 1950,Final Round,1950-07-13,,Brazil,Spain,Brazil,Spain,6.0,1.0,7.0,Brazil,Spain,False,5.0,,"Estádio do Maracanã, Rio de Janeiro",played,True,True
1950_20,,1950,World Cup 1950,Final Round,1950-07-13,,Uruguay,Sweden,Uruguay,Sweden,3.0,2.0,5.0,Uruguay,Sweden,False,1.0,,"Estádio do Pacaembu, São Paulo",played,True,True
1950_21,,1950,World Cup 1950,Final Round,1950-07-16,,Sweden,Spain,Sweden,Spain,3.0,1.0,4.0,Sweden,Spain,False,2.0,,"Estádio do Pacaembu, São Paulo",played,True,True
1950_22,,1950,World Cup 1950,Final Round,1950-07-16,,Uruguay,Brazil,Uruguay,Brazil,2.0,1.0,3.0,Uruguay,Brazil,False,1.0,,"Estádio do Maracanã, Rio de Janeiro",played,True,True
1954_1,,1954,World Cup 1954,Matchday 1,1954-06-16,,Brazil,Mexico,Brazil,Mexico,5.0,0.0,5.0,Brazil,Mexico,False,5.0,Group 1,"Charmilles Stadium, Geneva",played,True,False
1954_2,,1954,World Cup 1954,Matchday 1,1954-06-16,,Yugoslavia,France,Serbia,France,1.0,0.0,1.0,Serbia,France,False,1.0,Group 1,"Stade Olympique de la Pontaise, Lausanne",played,True,False
1954_3,,1954,World Cup 1954,Matchday 2,1954-06-19,,Brazil,Yugoslavia,Brazil,Serbia,1.0,1.0,2.0,,,True,0.0,Group 1,"Stade Olympique de la Pontaise, Lausanne",played,True,False
1954_4,,1954,World Cup 1954,Matchday 2,1954-06-19,,France,Mexico,France,Mexico,3.0,2.0,5.0,France,Mexico,False,1.0,Group 1,"Charmilles Stadium, Geneva",played,True,False
1954_5,,1954,World Cup 1954,Matchday 1,1954-06-17,,West Germany,Turkey,Germany,Turkey,4.0,1.0,5.0,Germany,Turkey,False,3.0,Group 2,"Wankdorf Stadium, Bern",played,True,False
1954_6,,1954,World Cup 1954,Matchday 1,1954-06-17,,Hungary,South Korea,Hungary,South Korea,9.0,0.0,9.0,Hungary,South Korea,False,9.0,Group 2,"Hardturm Stadium, Zürich",played,True,False
1954_7,,1954,World Cup 1954,Matchday 2,1954-06-20,,Hungary,West Germany,Hungary,Germany,8.0,3.0,11.0,Hungary,Germany,False,5.0,Group 2,"St. Jakob Stadium, Basel",played,True,False
1954_8,,1954,World Cup 1954,Matchday 2,1954-06-20,,Turkey,South Korea,Turkey,South Korea,7.0,0.0,7.0,Turkey,South Korea,False,7.0,Group 2,"Charmilles Stadium, Geneva",played,True,False
1954_9,,1954,World Cup 1954,Group 2 Play-off,1954-06-23,,West Germany,Turkey,Germany,Turkey,7.0,2.0,9.0,Germany,Turkey,False,5.0,,"Hardturm Stadium, Zürich",played,True,False
1954_10,,1954,World Cup 1954,Matchday 1,1954-06-16,,Uruguay,Czechoslovakia,Uruguay,Czech Republic,2.0,0.0,2.0,Uruguay,Czech Republic,False,2.0,Group 3,"Wankdorf Stadium, Bern",played,True,False
