match_id,year,cup_name,round,date,team,opponent,goals_for,goals_against,goal_difference,is_winner,is_draw,is_loser,match_played
1934_12,1934,World Cup 1934,Quarter-finals,1934-05-31,Austria,Hungary,2,1,1,True,False,False,True
1934_12,1934,World Cup 1934,Quarter-finals,1934-05-31,Hungary,Austria,1,2,-1,False,False,True,True
1934_13,1934,World Cup 1934,"Quarter-finals, Replays",1934-06-01,Italy,Spain,1,0,1,True,False,False,True
1934_13,1934,World Cup 1934,"Quarter-finals, Replays",1934-06-01,Spain,Italy,0,1,-1,False,False,True,True
1934_14,1934,World Cup 1934,Semi-finals,1934-06-03,Italy,Austria,1,0,1,True,False,False,True
1934_14,1934,World Cup 1934,Semi-finals,1934-06-03,Austria,Italy,0,1,-1,False,False,True,True
1934_15,1934,World Cup 1934,Semi-finals,1934-06-03,Czechoslovakia,Germany,3,1,2,True,False,False,True
1934_15,1934,World Cup 1934,Semi-finals,1934-06-03,Germany,Czechoslovakia,1,3,-2,False,False,True,True
1934_16,1934,World Cup 1934,Third-place match,1934-06-07,Germany,Austria,3,2,1,True,False,False,True
1934_16,1934,World Cup 1934,Third-place match,1934-06-07,Austria,Germany,2,3,-1,False,False,True,True
1934_17,1934,World Cup 1934,Final,1934-06-10,Italy,Czechoslovakia,2,1,1,True,False,False,True
1934_17,1934,World Cup 1934,Final,1934-06-10,Czechoslovakia,Italy,1,2,-1,False,False,True,True
1938_1,1938,World Cup 1938,First round,1938-06-04,Switzerland,Germany,1,1,0,False,True,False,True
1938_1,1938,World Cup 1938,First round,1938-06-04,Germany,Switzerland,1,1,0,False,True,False,True
1938_2,1938,World Cup 1938,First round,1938-06-05,Hungary,Dutch East Indies,6,0,6,True,False,False,True
1938_2,1938,World Cup 1938,First round,1938-06-05,Dutch East Indies,Hungary,0,6,-6,False,False,True,True
1938_3,1938,World Cup 1938,First round,1938-06-05,France,Belgium,3,1,2,True,False,False,True
1938_3,1938,World Cup 1938,First round,1938-06-05,Belgium,France,1,3,-2,False,False,True,True
1938_4,1938,World Cup 1938,First round,1938-06-05,Cuba,Romania,3,3,0,False,True,False,True
1938_4,1938,World Cup 1938,First round,1938-06-05,Romania,Cuba,3,3,0,False,True,False,True
1938_5,1938,World Cup 1938,First round,1938-06-05,Italy,Norway,2,1,1,True,False,False,True
1938_5,1938,World Cup 1938,First round,1938-06-05,Norway,Italy,1,2,-1,False,False,True,True
1938_6,1938,World Cup 1938,First round,1938-06-05,Brazil,Poland,6,5,1,True,False,False,True
1938_6,1938,World Cup 1938,First round,1938-06-05,Poland,Brazil,5,6,-1,False,False,True,True
1938_7,1938,World Cup 1938,First round,1938-06-05,Czechoslovakia,Netherlands,3,0,3,True,False,False,True
1938_7,1938,World Cup 1938,First round,1938-06-05,Netherlands,Czechoslovakia,0,3,-3,False,False,True,True
1938_9,1938,World Cup 1938,"First round, Replays",1938-06-09,Cuba,Romania,2,1,1,True,False,False,True
1938_9,1938,World Cup 1938,"First round, Replays",1938-06-09,Romania,Cuba,1,2,-1,False,False,True,True
1938_10,1938,World Cup 1938,"First round, Replays",1938-06-09,Germany,Switzerland,2,4,-2,False,False,True,True
1938_10,1938,World Cup 1938,"First round, Replays",1938-06-09,Switzerland,Germany,4,2,2,True,False,False,True
1938_11,1938,World Cup 1938,Quarter-finals,1938-06-12,Brazil,Czechoslovakia,1,1,0,False,True,False,True
1938_11,1938,World Cup 1938,Quarter-finals,1938-06-12,Czechoslovakia,Brazil,1,1,0,False,True,False,True
1938_12,1938,World Cup 1938,Quarter-finals,1938-06-12,Switzerland,Hungary,0,2,-2,False,False,True,True
1938_12,1938,World Cup 1938,Quarter-finals,1938-06-12,Hungary,Switzerland,2,0,2,True,False,False,True
1938_13,1938,World Cup 1938,Quarter-finals,1938-06-12,Sweden,Cuba,8,0,8,True,False,False,True
1938_13,1938,World Cup 1938,Quarter-finals,1938-06-12,Cuba,Sweden,0,8,-8,False,False,True,True
1938_14,1938,World Cup 1938,Quarter-finals,1938-06-12,France,Italy,1,3,-2,False,False,True,True
1938_14,1938,World Cup 1938,Quarter-finals,1938-06-12,Italy,France,3,1,2,True,False,False,True
1938_15,1938,World Cup 1938,"Quarter-finals, Replays",1938-06-14,Brazil,Czechoslovakia,2,1,1,True,False,False,True
1938_15,1938,World Cup 1938,"Quarter-finals, Replays",1938-06-14,Czechoslovakia,Brazil,1,2,-1,False,False,True,True
1938_16,1938,World Cup 1938,Semi-finals,1938-06-16,Hungary,Sweden,5,1,4,True,False,False,True
1938_16,1938,World Cup 1938,Semi-finals,1938-06-16,Sweden,Hungary,1,5,-4,False,False,True,True
1938_17,1938,World Cup 1938,Semi-finals,1938-06-16,Italy,Brazil,2,1,1,True,False,False,True
1938_17,1938,World Cup 1938,Semi-finals,1938-06-16,Brazil,Italy,1,2,-1,False,False,True,True
1938_18,1938,World Cup 1938,Match for third place,1938-06-19,Sweden,Brazil,2,4,-2,False,False,True,True
