match_id,year,cup_name,round,date,team1,team2,team1_score,team2_score,team1_ht_score,team2_ht_score,group,ground
1938_7,1938,World Cup 1938,First round,1938-06-05,Czechoslovakia,Netherlands,0.0,0.0,0.0,0.0,,"Stade municipal, Le Havre"
1938_8,1938,World Cup 1938,First round,1938-06-05,Sweden,Austria,,,,,,"Stade Gerland, Lyon"
1938_9,1938,World Cup 1938,"First round, Replays",1938-06-09,Cuba,Romania,2.0,1.0,0.0,1.0,,"Stade Chapou, Toulouse"
1938_10,1938,World Cup 1938,"First round, Replays",1938-06-09,Germany,Switzerland,2.0,4.0,2.0,1.0,,"Parc des Princes, Paris"
1938_11,1938,World Cup 1938,Quarter-finals,1938-06-12,Brazil,Czechoslovakia,1.0,1.0,1.0,0.0,,"Parc Lescure, Bordeaux"
1938_12,1938,World Cup 1938,Quarter-finals,1938-06-12,Switzerland,Hungary,0.0,2.0,0.0,1.0,,"Stade Victor Boucquey, Lille"
1938_13,1938,World Cup 1938,Quarter-finals,1938-06-12,Sweden,Cuba,8.0,0.0,4.0,0.0,,"Stade du Fort Carré, Antibes"
1938_14,1938,World Cup 1938,Quarter-finals,1938-06-12,France,Italy,1.0,3.0,1.0,1.0,,"Stade Olympique de Colombes, Paris"
1938_15,1938,World Cup 1938,"Quarter-finals, Replays",1938-06-14,Brazil,Czechoslovakia,2.0,1.0,0.0,1.0,,"Parc Lescure, Bordeaux"
1938_16,1938,World Cup 1938,Semi-finals,1938-06-16,Hungary,Sweden,5.0,1.0,3.0,1.0,,"Parc des Princes, Paris"
1938_17,1938,World Cup 1938,Semi-finals,1938-06-16,Italy,Brazil,2.0,1.0,0.0,0.0,,"Stade Vélodrome, Marseille"
1938_18,1938,World Cup 1938,Match for third place,1938-06-19,Sweden,Brazil,2.0,4.0,2.0,1.0,,"Parc Lescure, Bordeaux"
1938_19,1938,World Cup 1938,Final,1938-06-19,Hungary,Italy,2.0,4.0,1.0,3.0,,"Stade Olympique de Colombes, Paris"
1950_1,1950,World Cup 1950,First round,1950-06-24,Brazil,Mexico,4.0,0.0,1.0,0.0,Group 1,"Estádio do Maracanã, Rio de Janeiro"
1950_2,1950,World Cup 1950,First round,1950-06-25,Yugoslavia,Switzerland,3.0,0.0,0.0,0.0,Group 1,"Estádio Independência, Belo Horizonte"
1950_3,1950,World Cup 1950,First round,1950-06-28,Brazil,Switzerland,2.0,2.0,2.0,1.0,Group 1,"Estádio do Pacaembu, São Paulo"
1950_4,1950,World Cup 1950,First round,1950-06-28,Yugoslavia,Mexico,4.0,1.0,2.0,0.0,Group 1,"Estádio dos Eucaliptos, Porto Alegre"
1950_5,1950,World Cup 1950,First round,1950-07-01,Brazil,Yugoslavia,2.0,0.0,1.0,0.0,Group 1,"Estádio do Maracanã, Rio de Janeiro"
1950_6,1950,World Cup 1950,First round,1950-07-02,Switzerland,Mexico,2.0,1.0,2.0,0.0,Group 1,"Estádio dos Eucaliptos, Porto Alegre"
1950_7,1950,World Cup 1950,First round,1950-06-25,England,Chile,2.0,0.0,,,Group 2,"Estádio do Maracanã, Rio de Janeiro"
1950_8,1950,World Cup 1950,First round,1950-06-25,Spain,United States,3.0,1.0,,,Group 2,"Estádio Durival de Britto, Curitiba"
1950_9,1950,World Cup 1950,First round,1950-06-29,Spain,Chile,2.0,0.0,,,Group 2,"Estádio do Maracanã, Rio de Janeiro"
1950_10,1950,World Cup 1950,First round,1950-06-29,United States,England,1.0,0.0,,,Group 2,"Estádio Independência, Belo Horizonte"
1950_11,1950,World Cup 1950,First round,1950-07-02,Spain,England,1.0,0.0,,,Group 2,"Estádio do Maracanã, Rio de Janeiro"
1950_12,1950,World Cup 1950,First round,1950-07-02,Chile,United States,5.0,2.0,,,Group 2,"Estádio Ilha do Retiro, Recife"
1950_13,1950,World Cup 1950,First round,1950-06-25,Sweden,Italy,3.0,2.0,,,Group 3,"Estádio do Pacaembu, São Paulo"
1950_14,1950,World Cup 1950,First round,1950-06-29,Sweden,Paraguay,2.0,2.0,,,Group 3,"Estádio Durival Britto, Curitiba"
1950_15,1950,World Cup 1950,First round,1950-07-02,Italy,Paraguay,2.0,0.0,,,Group 3,"Estádio do Pacaembu, São Paulo"
1950_16,1950,World Cup 1950,First round,1950-07-02,Uruguay,Bolivia,8.0,0.0,,,Group 4,"Estádio Independência, Belo Horizonte"
1950_17,1950,World Cup 1950,Final Round,1950-07-09,Uruguay,Spain,2.0,2.0,,,,"Estádio do Pacaembu, São Paulo"
1950_18,1950,World Cup 1950,Final Round,1950-07-09,Brazil,Sweden,7.0,1.0,,,,"Estádio do Maracanã, Rio de Janeiro"
1950_19,1950,World Cup 1950,Final Round,1950-07-13,Brazil,Spain,6.0,1.0,,,,"Estádio do Maracanã, Rio de Janeiro"
1950_20,1950,World Cup 1950,Final Round,1950-07-13,Uruguay,Sweden,3.0,2.0,,,,"Estádio do Pacaembu, São Paulo"
1950_21,1950,World Cup 1950,Final Round,1950-07-16,Sweden,Spain,3.0,1.0,,,,"Estádio do Pacaembu, São Paulo"
1950_22,1950,World Cup 1950,Final Round,1950-07-16,Uruguay,Brazil,2.0,1.0,,,,"Estádio do Maracanã, Rio de Janeiro"
1954_1,1954,World Cup 1954,Matchday 1,1954-06-16,Brazil,Mexico,5.0,0.0,,,Group 1,"Charmilles Stadium, Geneva"
1954_2,1954,World Cup 1954,Matchday 1,1954-06-16,Yugoslavia,France,1.0,0.0,,,Group 1,"Stade Olympique de la Pontaise, Lausanne"
1954_3,1954,World Cup 1954,Matchday 2,1954-06-19,Brazil,Yugoslavia,1.0,1.0,,,Group 1,"Stade Olympique de la Pontaise, Lausanne"
1954_4,1954,World Cup 1954,Matchday 2,1954-06-19,France,Mexico,3.0,2.0,,,Group 1,"Charmilles Stadium, Geneva"
1954_5,1954,World Cup 1954,Matchday 1,1954-06-17,West Germany,Turkey,4.0,1.0,,,Group 2,"Wankdorf Stadium, Bern"
1954_6,1954,World Cup 1954,Matchday 1,1954-06-17,Hungary,South Korea,9.0,0.0,,,Group 2,"Hardturm Stadium, Zürich"
1954_7,1954,World Cup 1954,Matchday 2,1954-06-20,Hungary,West Germany,8.0,3.0,,,Group 2,"St. Jakob Stadium, Basel"
1954_8,1954,World Cup 1954,Matchday 2,1954-06-20,Turkey,South Korea,7.0,0.0,,,Group 2,"Charmilles Stadium, Geneva"
1954_9,1954,World Cup 1954,Group 2 Play-off,1954-06-23,West Germany,Turkey,7.0,2.0,,,,"Hardturm Stadium, Zürich"
1954_10,1954,World Cup 1954,Matchday 1,1954-06-16,Uruguay,Czechoslovakia,2.0,0.0,,,Group 3,"Wankdorf Stadium, Bern"
1954_11,1954,World Cup 1954,Matchday 1,1954-06-16,Austria,Scotland,1.0,0.0,,,Group 3,"Hardturm Stadium, Zürich"
1954_12,1954,World Cup 1954,Matchday 2,1954-06-19,Austria,Czechoslovakia,5.0,0.0,,,Group 3,"Hardturm Stadium, Zürich"
1954_13,1954,World Cup 1954,Matchday 2,1954-06-19,Uruguay,Scotland,7.0,0.0,,,Group 3,"St. Jakob Stadium, Basel"
1954_14,1954,World Cup 1954,Matchday 1,1954-06-17,England,Belgium,3.0,3.0,,,Group 4,"St. Jakob Stadium, Basel"
1954_15,1954,World Cup 1954,Matchday 1,1954-06-17,Switzerland,Italy,2.0,1.0,,,Group 4,"Stade Olympique de la Pontaise, Lausanne"
1954_16,1954,World Cup 1954,Matchday 2,1954-06-20,England,Switzerland,2.0,0.0,,,Group 4,"Wankdorf Stadium, Bern"
1954_17,1954,World Cup 1954,Matchday 2,1954-06-20,Italy,Belgium,4.0,1.0,,,Group 4,"Cornaredo Stadium, Lugano"
1954_18,1954,World Cup 1954,Group 4 Play-off,1954-06-23,Switzerland,Italy,4.0,1.0,,,,"St. Jakob Stadium, Basel"
1954_19,1954,World Cup 1954,Quarter-finals,1954-06-26,Austria,Switzerland,7.0,5.0,,,,"Stade Olympique de la Pontaise, Lausanne"
1954_20,1954,World Cup 1954,Quarter-finals,1954-06-26,Uruguay,England,4.0,2.0,,,,"St. Jakob Stadium, Basel"
1954_21,1954,World Cup 1954,Quarter-finals,1954-06-27,Yugoslavia,West Germany,0.0,2.0,,,,"Charmilles Stadium, Geneva"
1954_22,1954,World Cup 1954,Quarter-finals,1954-06-27,Brazil,Hungary,2.0,4.0,,,,"Wankdorf Stadium, Bern"
1954_23,1954,World Cup 1954,Semi-finals,1954-06-30,West Germany,Austria,6.0,1.0,,,,"St. Jakob Stadium, Basel"
1954_24,1954,World Cup 1954,Semi-finals,1954-06-30,Hungary,Uruguay,2.0,2.0,,,,"Stade Olympique de la Pontaise, Lausanne"
1954_25,1954,World Cup 1954,Third-place match,1954-07-03,Uruguay,Austria,1.0,3.0,,,,"Hardturm Stadium, Zürich"
1954_26,1954,World Cup 1954,Final,1954-07-04,Hungary,West Germany,2.0,3.0,,,,"Wankdorf Stadium, Bern"
1958_1,1958,World Cup 1958,Matchday 1,1958-06-08,West Germany,Argentina,3.0,1.0,,,Group 1,"Malmö Stadion, Malmö"
1958_2,1958,World Cup 1958,Matchday 1,1958-06-08,Northern Ireland,Czechoslovakia,1.0,0.0,,,Group 1,"Örjans Vall, Halmstad"
1958_3,1958,World Cup 1958,Matchday 2,1958-06-11,Argentina,Northern Ireland,3.0,1.0,,,Group 1,"Örjans Vall, Halmstad"
1958_4,1958,World Cup 1958,Matchday 2,1958-06-11,West Germany,Czechoslovakia,2.0,2.0,,,Group 1,"Olympiastadion, Helsingborg"
1958_5,1958,World Cup 1958,Matchday 3,1958-06-15,West Germany,Northern Ireland,2.0,2.0,,,Group 1,"Malmö Stadion, Malmö"
