match_id,year,round,team1_normalized,team2_normalized,team1_score_final,team2_score_final,target,team1_games,team1_wins,team1_goals_for,team1_goals_against,team1_goal_difference,team1_win_rate,team1_goals_per_game,team1_goals_against_per_game,team2_games,team2_wins,team2_goals_for,team2_goals_against,team2_goal_difference,team2_win_rate,team2_goals_per_game,team2_goals_against_per_game,win_rate_diff,goals_per_game_diff,goals_against_per_game_diff,goal_difference_diff,experience_diff
1930_1,1930,Matchday 1,France,Mexico,4.0,1.0,team1_win,73,39,136,85,51,0.5342465753424658,1.8630136986301369,1.1643835616438356,60,17,62,101,-39,0.2833333333333333,1.0333333333333334,1.6833333333333331,0.25091324200913245,0.8296803652968034,-0.5189497716894975,90,13
1930_2,1930,Matchday 3,Argentina,France,1.0,0.0,team1_win,88,47,152,101,51,0.5340909090909091,1.7272727272727273,1.1477272727272727,73,39,136,85,51,0.5342465753424658,1.8630136986301369,1.1643835616438356,-0.00015566625155671865,-0.1357409713574096,-0.0166562889165629,0,15
1930_3,1930,Matchday 4,Chile,Mexico,3.0,0.0,team1_win,33,11,40,49,-9,0.3333333333333333,1.2121212121212122,1.4848484848484849,60,17,62,101,-39,0.2833333333333333,1.0333333333333334,1.6833333333333331,0.04999999999999999,0.17878787878787872,-0.19848484848484826,30,-27
1930_4,1930,Matchday 7,Chile,France,1.0,0.0,team1_win,33,11,40,49,-9,0.3333333333333333,1.2121212121212122,1.4848484848484849,73,39,136,85,51,0.5342465753424658,1.8630136986301369,1.1643835616438356,-0.20091324200913246,-0.6508924865089247,0.32046492320464925,-60,-40
1930_5,1930,Matchday 7,Argentina,Mexico,6.0,3.0,team1_win,88,47,152,101,51,0.5340909090909091,1.7272727272727273,1.1477272727272727,60,17,62,101,-39,0.2833333333333333,1.0333333333333334,1.6833333333333331,0.25075757575757573,0.6939393939393939,-0.5356060606060604,90,28
1930_6,1930,Matchday 10,Argentina,Chile,3.0,1.0,team1_win,88,47,152,101,51,0.5340909090909091,1.7272727272727273,1.1477272727272727,33,11,40,49,-9,0.3333333333333333,1.2121212121212122,1.4848484848484849,0.20075757575757575,0.5151515151515151,-0.33712121212121215,60,55
1930_7,1930,Matchday 2,Serbia,Brazil,2.0,1.0,team1_win,46,18,69,61,8,0.391304347826087,1.5,1.326086956521739,114,76,237,108,129,0.6666666666666666,2.0789473684210527,0.9473684210526316,-0.27536231884057966,-0.5789473684210527,0.3787185354691074,-121,-68
1930_8,1930,Matchday 5,Serbia,Bolivia,4.0,0.0,team1_win,46,18,69,61,8,0.391304347826087,1.5,1.326086956521739,6,0,1,20,-19,0.0,0.1666666666666666,3.3333333333333335,0.391304347826087,1.3333333333333335,-2.0072463768115947,27,40
1930_9,1930,Matchday 8,Brazil,Bolivia,4.0,0.0,team1_win,114,76,237,108,129,0.6666666666666666,2.0789473684210527,0.9473684210526316,6,0,1,20,-19,0.0,0.1666666666666666,3.3333333333333335,0.6666666666666666,1.9122807017543861,-2.385964912280702,148,108
1930_10,1930,Matchday 2,Romania,Peru,3.0,1.0,team1_win,21,8,30,32,-2,0.3809523809523809,1.4285714285714286,1.5238095238095235,18,5,21,33,-12,0.2777777777777778,1.1666666666666667,1.8333333333333333,0.10317460317460309,0.26190476190476186,-0.30952380952380976,10,3
1930_11,1930,Matchday 6,Uruguay,Peru,1.0,0.0,team1_win,59,25,89,76,13,0.423728813559322,1.5084745762711864,1.2881355932203389,18,5,21,33,-12,0.2777777777777778,1.1666666666666667,1.8333333333333333,0.14595103578154422,0.3418079096045197,-0.5451977401129944,25,41
1930_12,1930,Matchday 9,Uruguay,Romania,4.0,0.0,team1_win,59,25,89,76,13,0.423728813559322,1.5084745762711864,1.2881355932203389,21,8,30,32,-2,0.3809523809523809,1.4285714285714286,1.5238095238095235,0.04277643260694114,0.07990314769975781,-0.23567393058918462,15,38
1930_13,1930,Matchday 1,United States,Belgium,3.0,0.0,team1_win,10,3,14,29,-15,0.3,1.4,2.9,51,21,69,74,-5,0.4117647058823529,1.3529411764705883,1.4509803921568627,-0.11176470588235293,0.0470588235294116,1.4490196078431372,-10,-41
1930_14,1930,Matchday 5,United States,Paraguay,3.0,0.0,team1_win,10,3,14,29,-15,0.3,1.4,2.9,27,7,30,38,-8,0.2592592592592592,1.1111111111111112,1.4074074074074074,0.0407407407407408,0.28888888888888875,1.4925925925925925,-7,-17
1930_15,1930,Matchday 8,Paraguay,Belgium,1.0,0.0,team1_win,27,7,30,38,-8,0.2592592592592592,1.1111111111111112,1.4074074074074074,51,21,69,74,-5,0.4117647058823529,1.3529411764705883,1.4509803921568627,-0.15250544662309373,-0.24183006535947715,-0.04357298474945526,-3,-24
